  -5.000000000000000E-02   5.786829395600000E+01   9.644193527700000E-16   1.464388775000000E+00  -5.825393395500000E+00   9.685756369800000E-01   1.308434534800000E+00   3.813284056100000E+00
  -5.000000001200000E-02   5.786829395600000E+01   1.944492090800000E-15   1.464388775000000E+00  -5.825393395400000E+00   9.685756370400000E-01   1.308434534800000E+00   3.813284056100000E+00
  -5.000000015800000E-02   5.786829395600000E+01   1.329520206800000E-15   1.464388774900000E+00  -5.825393394200000E+00   9.685756378200000E-01   1.308434534900000E+00   3.813284056000000E+00
  -5.000000019700000E-02   5.786829395600000E+01   1.456133658900000E-15   1.464388775000000E+00  -5.825393393900000E+00   9.685756380300000E-01   1.308434534900000E+00   3.813284056000000E+00
  -5.000000027600000E-02   5.786829395600000E+01   9.793360789600001E-16   1.464388775000000E+00  -5.825393393200000E+00   9.685756384400001E-01   1.308434535000000E+00   3.813284056000000E+00
  -5.000000043200000E-02   5.786829395600000E+01   1.184866842900000E-15   1.464388775000000E+00  -5.825393391900000E+00   9.685756392700000E-01   1.308434535000000E+00   3.813284055900000E+00
  -5.000000074600000E-02   5.786829395600000E+01   1.163189794200000E-15   1.464388775000000E+00  -5.825393389300000E+00   9.685756409400000E-01   1.308434535200000E+00   3.813284055800000E+00
  -5.000000137300000E-02   5.786829395600000E+01   1.200050145900000E-15   1.464388775000000E+00  -5.825393384000000E+00   9.685756442700000E-01   1.308434535600000E+00   3.813284055500000E+00
  -5.000000262600000E-02   5.786829395600000E+01   1.060705917600000E-15   1.464388775000000E+00  -5.825393373500000E+00   9.685756509300000E-01   1.308434536300000E+00   3.813284055000000E+00
  -5.000000513400000E-02   5.786829395600000E+01   1.454501002100000E-15   1.464388775000000E+00  -5.825393352400000E+00   9.685756642500000E-01   1.308434537700000E+00   3.813284054000000E+00
  -5.000001014900000E-02   5.786829395600000E+01   1.215419769800000E-15   1.464388751100000E+00  -5.825393310300000E+00   9.685756908800000E-01   1.308434540600000E+00   3.813284051900000E+00
  -5.000002018100000E-02   5.786829395700000E+01   1.002250826300000E-15   1.464388751100000E+00  -5.825393226000000E+00   9.685757441600000E-01   1.308434546400000E+00   3.813284047800000E+00
  -5.000004024100000E-02   5.786829395800000E+01   1.606938351400000E-15   1.464388735500000E+00  -5.825393057400000E+00   9.685758507100000E-01   1.308434557900000E+00   3.813284039400000E+00
  -5.000008036200000E-02   5.786829396100000E+01   1.238301443900000E-15   1.464388736200000E+00  -5.825392720400000E+00   9.685760638000001E-01   1.308434580900000E+00   3.813284022800000E+00
  -5.000016060300000E-02   5.786829396600000E+01   1.472742525400000E-15   1.464388697500000E+00  -5.825392046200000E+00   9.685764899700000E-01   1.308434627000000E+00   3.813283989600000E+00
  -5.000032108500000E-02   5.786829397700000E+01   1.141182328200000E-15   1.464388652200000E+00  -5.825390697900000E+00   9.685773423300000E-01   1.308434719200000E+00   3.813283923100000E+00
  -5.000064204900000E-02   5.786829399900000E+01   1.267090431000000E-15   1.464388505500000E+00  -5.825388001300000E+00   9.685790470400000E-01   1.308434903500000E+00   3.813283790100000E+00
  -5.000128397800000E-02   5.786829404300000E+01   1.227080190400000E-15   1.464388268200000E+00  -5.825382608100000E+00   9.685824564500000E-01   1.308435272100000E+00   3.813283524100000E+00
  -5.000256784000000E-02   5.786829413000000E+01   1.376740353600000E-15   1.464387729300000E+00  -5.825371821600000E+00   9.685892752800001E-01   1.308436009200000E+00   3.813282992200000E+00
  -5.000513557600000E-02   5.786829430500000E+01   1.105713078000000E-15   1.464386723900000E+00  -5.825350248800000E+00   9.686029129000000E-01   1.308437483600000E+00   3.813281928300000E+00
  -5.001027109500000E-02   5.786829465500000E+01   1.283403447000000E-15   1.464384681000000E+00  -5.825307103000000E+00   9.686301880500000E-01   1.308440432400000E+00   3.813279800500000E+00
  -5.002054232800000E-02   5.786829535400000E+01   1.242605495800000E-15   1.464380609800000E+00  -5.825220811200000E+00   9.686847379700000E-01   1.308446330000000E+00   3.813275544800000E+00
  -5.004108557800000E-02   5.786829675200000E+01   1.039034292500000E-15   1.464372444800000E+00  -5.825048226800000E+00   9.687938363400000E-01   1.308458125500000E+00   3.813267033200000E+00
  -5.007190240800000E-02   5.786829885000000E+01   1.280884225700000E-15   1.464360216800000E+00  -5.824789348300000E+00   9.689574801500001E-01   1.308475819400000E+00   3.813254265200000E+00
  -5.011813205800000E-02   5.786830199600000E+01   1.012831376800000E-15   1.464341875800000E+00  -5.824401025900000E+00   9.692029375100000E-01   1.308502361600000E+00   3.813235111600000E+00
  -5.018748643700000E-02   5.786830671600000E+01   8.840849962800000E-16   1.464314322800000E+00  -5.823818532300000E+00   9.695711047000000E-01   1.308542178100000E+00   3.813206377700000E+00
  -5.029154030500000E-02   5.786831379600000E+01   1.343791003700000E-15   1.464273045100000E+00  -5.822944769100000E+00   9.701233130600000E-01   1.308601910000000E+00   3.813163269300000E+00
  -5.044767131000000E-02   5.786832441700000E+01   1.340204936400000E-15   1.464211064100000E+00  -5.821634073000000E+00   9.709515301500000E-01   1.308691524200000E+00   3.813098589300000E+00
  -5.068198086800000E-02   5.786834035000000E+01   9.932559694700001E-16   1.464118064800000E+00  -5.819667913800000E+00   9.721936409500000E-01   1.308825981800000E+00   3.813001530400000E+00
  -5.103369989600000E-02   5.786836425200000E+01   1.472400730300000E-15   1.463978517400000E+00  -5.816718415500000E+00   9.740563235300000E-01   1.309027750400000E+00   3.812855854400000E+00
